Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price
153,1393,3,True,True,True,۱ ساعت پیش در تهران، درکه,۱۸٬۳۶۰٬۰۰۰٬۰۰۰ تومان
418,1382,4,True,True,True,۱ ساعت پیش در تهران، زعفرانیه,۱۳۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
57,1385,2,False,False,True,۱ ساعت پیش در تهران، جابری,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان
193,1371,3,False,False,True,۱ ساعت پیش در تهران، فرمانیه,۲۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان
62,1401,1,True,True,True,۱ ساعت پیش در تهران، دهکده المپیک، بزرگراه همت (کنارگذر آزادگان),۱٬۴۱۰٬۰۰۰٬۰۰۰ تومان
115,1400,2,True,True,True,۱ ساعت پیش در تهران، حکیمیه,۹٬۲۰۰٬۰۰۰٬۰۰۰ تومان
138,1401,3,True,True,True,۱ ساعت پیش در تهران، شهرک غرب,۲۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان
295,1401,4,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۶۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان
155,1395,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۲۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان
146,1389,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۱۹٬۱۰۰٬۰۰۰٬۰۰۰ تومان
97,1395,2,True,True,True,۱ ساعت پیش در تهران، خاوران,۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان
48,1387,1,True,True,True,۱ ساعت پیش در تهران، سازمان آب,۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان
200,1399,3,True,True,True,۱ ساعت پیش در تهران، مرزداران,۲۶٬۳۵۰٬۰۰۰٬۰۰۰ تومان
135,1384,3,True,True,True,۱ ساعت پیش در تهران، شهرک غرب، خیابان گلستان جنوبی (خ. ایران زمین),۲۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان
114,1401,2,True,True,True,۱ ساعت پیش در تهران، دارآباد,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان
114,1394,2,True,True,True,۱ ساعت پیش در تهران، دارآباد,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان
82,1401,2,True,True,True,۱ ساعت پیش در تهران، دارآباد,۹٬۰۰۰٬۰۰۰٬۰۰۰ تومان
260,1401,3,True,True,True,۱ ساعت پیش در تهران، سعادت‌آباد,۷۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان
200,1375,4,True,True,True,۱ ساعت پیش در تهران، شهرک غرب، خیابان گلستان جنوبی (خ. ایران زمین),۲۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان
