neighborhood,price_toman,area_sqm,rooms,floor,elevator,parking,warehouse,price_per_sqm,building_age,year
نازی آباد,1400000000.0,53.0,1.0,3.0,True,True,True,26415094.339622643,6.0,2021
آذربایجان,1580000000.0,70.0,2.0,1.0,True,True,True,22571428.57142857,15.0,2021
آهنگ,700000000.0,45.0,1.0,5.0,True,False,True,15555555.555555556,18.0,2021
جردن,14000000000.0,200.0,3.0,5.0,True,True,True,70000000.0,1.0,2021
شهر ری - هاشم آباد,1630000000.0,84.0,2.0,5.0,True,True,False,19404761.904761903,6.0,2021
دریاچه شهدای خلیج فارس,995000000.0,100.0,2.0,10.0,True,True,True,9950000.0,1.0,2021
اندیشه,650000000.0,54.0,1.0,4.0,True,True,True,12037037.037037037,3.0,2021
پلیس,1425000000.0,75.0,2.0,1.0,False,False,True,19000000.0,26.0,2021
اندیشه,1000000000.0,79.0,2.0,3.0,False,True,True,12658227.848101266,10.0,2021
پردیس,720000000.0,85.0,2.0,6.0,True,True,True,8470588.235294119,3.0,2021
رباط کریم,500000000.0,70.0,1.0,2.0,True,True,True,7142857.142857143,1.0,2021
اسفندیاری,2220000000.0,111.0,2.0,1.0,True,True,True,20000000.0,8.0,2021
شهریار,890000000.0,71.0,2.0,3.0,True,False,True,12535211.267605634,17.0,2021
پردیس,2600000000.0,130.0,2.0,1.0,False,True,True,20000000.0,5.0,2021
ورامین,800000000.0,80.0,2.0,2.0,False,False,True,10000000.0,9.0,2021
تهران ویلا,3000000000.0,87.0,2.0,4.0,False,True,True,34482758.62068965,15.0,2021
جردن,4000000000.0,70.0,1.0,3.0,True,True,True,57142857.14285714,25.0,2021
تهرانپارس غربی,7600000000.0,190.0,3.0,1.0,True,True,True,40000000.0,17.0,2021
سرو آزاد,2700000000.0,105.0,2.0,10.0,True,True,True,25714285.714285713,1.0,2021
کوی فردوس,3420000000.0,75.0,1.0,8.0,True,True,True,45600000.0,1.0,2021
کوی فردوس,4730000000.0,114.0,2.0,8.0,True,True,True,41491228.07017544,1.0,2021
پردیس,1200000000.0,115.0,2.0,4.0,False,True,True,10434782.608695652,15.0,2021
باغ فیض,4100000000.0,98.0,2.0,5.0,True,True,True,41836734.69387755,5.0,2021
نارمک جنوبی,5350000000.0,130.0,3.0,4.0,True,True,True,41153846.15384615,1.0,2021
شهرک ولیعصر,1080000000.0,70.0,1.0,1.0,False,True,False,15428571.42857143,13.0,2021
جنت آباد شمالی,2000000000.0,64.0,2.0,1.0,True,True,True,31250000.0,8.0,2021
تهران سر,1885000000.0,65.0,1.0,5.0,True,True,True,29000000.0,1.0,2021
جنت آباد مرکزی,1800000000.0,78.0,2.0,3.0,False,True,True,23076923.076923076,17.0,2021
شهرک غرب,10500000000.0,150.0,3.0,5.0,True,True,True,70000000.0,2.0,2021
شهرک غرب,10500000000.0,140.0,3.0,4.0,True,True,True,75000000.0,1.0,2021
جنت آباد شمالی,1900000000.0,68.0,2.0,1.0,False,True,False,27941176.470588237,14.0,2021
جنت آباد مرکزی,2300000000.0,79.0,2.0,5.0,True,True,True,29113924.050632913,15.0,2021
جنت آباد شمالی,2300000000.0,79.0,2.0,5.0,True,True,True,29113924.050632913,16.0,2021
جردن,9400000000.0,180.0,3.0,5.0,True,True,True,52222222.222222224,15.0,2021
جنت آباد جنوبی,2300000000.0,79.0,2.0,5.0,True,True,True,29113924.050632913,16.0,2021
جنت آباد جنوبی,2000000000.0,78.0,2.0,5.0,True,True,True,25641025.64102564,16.0,2021
جنت آباد مرکزی,1850000000.0,53.0,1.0,5.0,True,True,True,34905660.37735849,8.0,2021
شهریار,738000000.0,82.0,2.0,4.0,True,True,True,9000000.0,6.0,2021
کوهک,4000000000.0,130.0,3.0,16.0,True,True,True,30769230.769230768,2.0,2021
ستارخان,3400000000.0,120.0,2.0,3.0,False,False,True,28333333.333333332,30.0,2021
دهکده المپیک,1800000000.0,82.0,2.0,,False,False,False,21951219.51219512,13.0,2021
سعادت آباد,9450000000.0,140.0,3.0,1.0,True,True,True,67500000.0,13.0,2021
سعادت آباد,12000000000.0,150.0,3.0,1.0,True,True,True,80000000.0,1.0,2021
سعادت آباد,13800000000.0,120.0,2.0,3.0,True,True,True,115000000.0,1.0,2021
سعادت آباد,15525000000.0,135.0,3.0,2.0,True,True,True,115000000.0,1.0,2021
سعادت آباد,26000000000.0,285.0,3.0,2.0,True,True,True,91228070.1754386,1.0,2021
کوی فردوس,4680000000.0,117.0,3.0,1.0,True,True,True,40000000.0,1.0,2021
جردن,11800000000.0,155.0,3.0,1.0,True,True,True,76129032.25806452,1.0,2021
افسریه,1700000000.0,72.0,2.0,1.0,True,True,True,23611111.111111112,5.0,2021
زرگنده,4500000000.0,83.0,2.0,1.0,True,True,True,54216867.469879515,15.0,2021
گرگان,1750000000.0,63.0,2.0,3.0,True,True,True,27777777.777777776,7.0,2021
پردیس,800000000.0,100.0,2.0,4.0,True,True,True,8000000.0,3.0,2021
پیروزی,2400000000.0,84.0,2.0,1.0,True,True,False,28571428.57142857,6.0,2021
