neighborhood,price_toman,area_sqm,rooms,warehouse,parking,elevator,price_per_sqm,building_age,year
درکه,18360000000.0,153.0,3.0,True,True,True,120000000.0,9.0,2023
زعفرانیه,130000000000.0,418.0,4.0,True,True,True,311004784.68899524,20.0,2023
جابری,2600000000.0,57.0,2.0,False,False,True,45614035.0877193,17.0,2023
فرمانیه,23000000000.0,193.0,3.0,False,False,True,119170984.45595855,31.0,2023
دهکده المپیک,1410000000.0,62.0,1.0,True,True,True,22741935.48387097,1.0,2023
حکیمیه,9200000000.0,115.0,2.0,True,True,True,80000000.0,2.0,2023
شهرک غرب,20500000000.0,138.0,3.0,True,True,True,148550724.63768116,1.0,2023
سعادت آباد,60000000000.0,295.0,4.0,True,True,True,203389830.5084746,1.0,2023
سعادت آباد,25500000000.0,155.0,3.0,True,True,True,164516129.03225806,7.0,2023
سعادت آباد,19100000000.0,146.0,3.0,True,True,True,130821917.80821918,13.0,2023
خاوران,2700000000.0,97.0,2.0,True,True,True,27835051.54639175,7.0,2023
سازمان آب,5300000000.0,48.0,1.0,True,True,True,110416666.66666667,15.0,2023
مرزداران,26350000000.0,200.0,3.0,True,True,True,131750000.0,3.0,2023
شهرک غرب,24000000000.0,135.0,3.0,True,True,True,177777777.7777778,18.0,2023
دارآباد,11500000000.0,114.0,2.0,True,True,True,100877192.98245615,1.0,2023
دارآباد,9500000000.0,114.0,2.0,True,True,True,83333333.33333333,8.0,2023
دارآباد,9000000000.0,82.0,2.0,True,True,True,109756097.56097561,1.0,2023
سعادت آباد,78000000000.0,260.0,3.0,True,True,True,300000000.0,1.0,2023
شهرک غرب,27500000000.0,200.0,4.0,True,True,True,137500000.0,27.0,2023
الهیه,22000000000.0,118.0,2.0,False,False,False,186440677.9661017,27.0,2023
شهرک غرب,19700000000.0,107.0,2.0,True,True,True,184112149.53271028,28.0,2023
شاهین,9900000000.0,120.0,2.0,True,True,True,82500000.0,12.0,2023
شهر زیبا,5350000000.0,58.0,1.0,True,True,True,92241379.31034483,17.0,2023
سازمان برنامه,9000000000.0,90.0,2.0,True,True,True,100000000.0,2.0,2023
باغ فیض,5680000000.0,65.0,2.0,False,True,True,87384615.38461539,20.0,2023
شهر زیبا,8750000000.0,90.0,2.0,True,True,True,97222222.22222222,9.0,2023
جنت آباد مرکزی,6400000000.0,63.0,1.0,True,True,True,101587301.58730158,5.0,2023
پونک,11500000000.0,102.0,2.0,True,True,True,112745098.03921568,6.0,2023
پونک,4650000000.0,72.0,1.0,True,True,False,64583333.333333336,19.0,2023
نیاوران,57500000000.0,230.0,3.0,True,True,True,250000000.0,1.0,2023
پونک,8150000000.0,85.0,2.0,True,True,True,95882352.94117647,16.0,2023
جیحون,4200000000.0,70.0,2.0,True,True,True,60000000.0,1.0,2023
مرزداران,10900000000.0,90.0,2.0,True,True,True,121111111.1111111,10.0,2023
سیدخندان,4700000000.0,62.0,2.0,True,False,True,75806451.61290322,20.0,2023
پونک,7100000000.0,78.0,2.0,True,True,True,91025641.02564102,10.0,2023
نارمک,3610000000.0,51.0,1.0,False,False,True,70784313.7254902,31.0,2023
سهروردی,3600000000.0,44.0,1.0,True,True,False,81818181.81818181,7.0,2023
جنت آباد مرکزی,10500000000.0,92.0,2.0,True,True,True,114130434.7826087,1.0,2023
ازگل,12000000000.0,136.0,1.0,True,True,True,88235294.11764705,11.0,2023
چیتگر,3450000000.0,150.0,3.0,True,True,True,23000000.0,1.0,2023
دروس,38850000000.0,210.0,3.0,True,True,True,185000000.0,1.0,2023
هروی,21750000000.0,145.0,3.0,True,True,True,150000000.0,1.0,2023
جمهوری,3600000000.0,56.0,1.0,False,False,True,64285714.28571428,18.0,2023
شهر زیبا,6100000000.0,65.0,1.0,True,True,True,93846153.84615384,4.0,2023
الهیه,31250000000.0,136.0,3.0,True,False,False,229779411.7647059,12.0,2023
تهرانپارس غربی,8200000000.0,110.0,2.0,True,True,True,74545454.54545455,17.0,2023
پونک,11400000000.0,156.0,3.0,True,True,True,73076923.07692307,11.0,2023
دریاچه شهدای خلیج فارس,1900000000.0,101.0,2.0,True,True,True,18811881.18811881,1.0,2023
پونک,6400000000.0,65.0,1.0,True,True,True,98461538.46153846,6.0,2023
نیلوفر,15190000000.0,108.0,2.0,True,True,True,140648148.14814815,1.0,2023
سازمان برنامه,5200000000.0,57.0,2.0,False,True,True,91228070.1754386,20.0,2023
میرداماد,13000000000.0,105.0,2.0,True,True,True,123809523.8095238,17.0,2023
قیطریه,19680000000.0,164.0,3.0,True,True,True,120000000.0,14.0,2023
نیاوران,21750000000.0,135.0,2.0,True,True,True,161111111.1111111,1.0,2023
فرمانیه,22000000000.0,150.0,3.0,True,True,True,146666666.66666666,6.0,2023
سوهانک,13000000000.0,130.0,3.0,True,True,True,100000000.0,1.0,2023
فرمانیه,31500000000.0,230.0,3.0,True,True,True,136956521.73913044,7.0,2023
نیاوران,16000000000.0,128.0,2.0,True,True,True,125000000.0,1.0,2023
کوی فردوس,4400000000.0,53.0,1.0,True,True,True,83018867.9245283,19.0,2023
پونک,5980000000.0,77.0,2.0,False,True,True,77662337.66233766,20.0,2023
جیحون,6500000000.0,110.0,3.0,True,True,True,59090909.09090909,1.0,2023
جنت آباد جنوبی,6390000000.0,78.0,2.0,False,True,True,81923076.92307693,18.0,2023
تهران سر,5000000000.0,75.0,2.0,True,True,True,66666666.666666664,9.0,2023
استاد معین,3900000000.0,61.0,1.0,True,False,True,63934426.2295082,2.0,2023
پونک,8000000000.0,102.0,2.0,True,False,True,78431372.5490196,18.0,2023
میرداماد,21600000000.0,120.0,2.0,True,True,True,180000000.0,1.0,2023
چیتگر,11680000000.0,180.0,3.0,True,True,True,64888888.88888889,8.0,2023
اختیاریه,10000000000.0,75.0,2.0,True,True,True,133333333.33333333,12.0,2023
اختیاریه,16850000000.0,135.0,3.0,True,True,True,124814814.81481482,1.0,2023
طیب,2560000000.0,68.0,1.0,False,True,True,37647058.823529415,19.0,2023
ستارخان,17000000000.0,180.0,3.0,True,True,True,94444444.44444445,1.0,2023
نارمک,19840000000.0,160.0,3.0,True,True,True,124000000.0,1.0,2023
نارمک,8300000000.0,97.0,2.0,True,True,True,85567010.30927835,16.0,2023
نارمک,16093000000.0,133.0,3.0,True,True,True,121000000.0,1.0,2023
نارمک,16520000000.0,140.0,3.0,True,True,True,118000000.0,1.0,2023
نارمک,12825000000.0,135.0,3.0,True,True,True,95000000.0,8.0,2023
نارمک,16240000000.0,145.0,3.0,True,True,True,112000000.0,1.0,2023
نارمک,15200000000.0,121.0,2.0,True,True,True,125619834.7107438,1.0,2023
جمهوری,7500000000.0,115.0,2.0,True,True,True,65217391.30434783,1.0,2023
کاظم آباد,8000000000.0,90.0,2.0,True,True,True,88888888.8888889,1.0,2023
کوی فردوس,10750000000.0,105.0,2.0,True,True,True,102380952.38095239,2.0,2023
شهرک ولیعصر,10000000000.0,186.0,3.0,True,True,True,53763440.86021505,2.0,2023
پونک,6000000000.0,60.0,1.0,True,True,True,100000000.0,14.0,2023
دریا,14000000000.0,120.0,3.0,True,True,True,116666666.66666667,16.0,2023
کوی فردوس,8980000000.0,78.0,2.0,True,True,True,115128205.12820514,1.0,2023
شهران جنوبی,4850000000.0,80.0,2.0,True,True,True,60625000.0,19.0,2023
سعادت آباد,13000000000.0,110.0,2.0,True,True,True,118181818.18181819,16.0,2023
ونک,14800000000.0,125.0,3.0,True,True,True,118400000.0,6.0,2023
سعادت آباد,13000000000.0,103.0,3.0,True,True,True,126213592.23300971,15.0,2023
هروی,13500000000.0,150.0,3.0,True,True,True,90000000.0,1.0,2023
قیطریه,24000000000.0,135.0,3.0,True,True,True,177777777.7777778,4.0,2023
میرداماد,10500000000.0,115.0,3.0,True,True,True,91304347.82608695,17.0,2023
حصار بوعلی,42000000000.0,240.0,4.0,True,True,True,175000000.0,2.0,2023
پونک,17300000000.0,141.0,3.0,False,True,True,122695035.4609929,13.0,2023
شهرک پرواز,5600000000.0,80.0,2.0,False,False,True,70000000.0,17.0,2023
بهار,6800000000.0,94.0,2.0,True,True,True,72340425.53191489,21.0,2023
جنت آباد جنوبی,11500000000.0,130.0,3.0,True,True,True,88461538.46153846,7.0,2023
باغ فیض,6800000000.0,69.0,2.0,True,True,True,98550724.63768116,12.0,2023
جنت آباد مرکزی,12700000000.0,148.0,3.0,True,True,True,85810810.8108108,6.0,2023
ونک,85000000000.0,500.0,4.0,True,True,True,170000000.0,1.0,2023
