منطقه,قیمت میانه هر متر (۱۴۰۰),قیمت میانه هر متر (۱۴۰۲),رشد قیمت (٪),تعداد آگهی ۲۰۲۱,تعداد آگهی ۲۰۲۳
ابن بابویه,14971264,46153846,208.3,26,23
مولوی,10976190,33717949,207.2,220,89
شهرک کوهسار,31307781,94545455,202.0,24,43
زاهد گیلانی,18253080,54651163,199.4,28,15
هفت چنار,17156334,51190476,198.4,116,209
سلامت,16427966,48810190,197.1,46,36
سلیمانی,16531676,48540073,193.6,154,214
امامزاده حسن(ع),14828460,43103448,190.7,92,117
سلسبیل,19111111,55428571,190.0,1405,1459
ائمه اطهار,23188406,67045455,189.1,39,29
نواب,15185185,43846154,188.7,931,457
هاشم آباد,12396628,35732143,188.2,90,40
خواجه نظام الملک,20754717,59459459,186.5,257,163
شهرک ولیعصر,15819672,45250000,186.0,532,323
بریانک,17042254,48560000,184.9,1640,875
امیریه,16046512,45683230,184.7,481,214
خلیج فارس,14253968,40525810,184.3,242,110
بهداشت,17662500,50153846,184.0,24,20
آذری,14971264,42465753,183.6,212,219
شهید بروجردی,14117647,40000000,183.3,17,15
مبارک آباد بهشتی,9200000,26000000,182.6,165,445
هاشمی,20192308,56942551,182.0,253,268
شهرک کیانشهر,14500000,40853846,181.8,209,86
آشتیانی,27777778,78149766,181.3,25,18
ارامنه,20909091,58793911,181.2,89,62
صفائیه (چشمه علی),15958955,44602273,179.5,28,16
فلاح,14714286,41000000,178.6,935,307
کوی هفدهم شهریور,14055556,39109453,178.2,32,22
بلورسازی,16166667,44961538,178.1,93,54
جهاد,35475386,98620690,178.0,22,19
گلچین,16300000,45312500,178.0,15,16
جوادیه,14428571,40000000,177.2,207,80
خزانه,14181818,39276119,176.9,131,58
جیحون,20000000,55357143,176.8,2975,2236
زمزم,13018868,36000000,176.5,125,55
گرگان,21000000,58038462,176.4,191,92
مسعودیه,15000000,41428571,176.2,311,177
تهرانپارس شرقی,23892308,65671642,174.9,1133,573
شهرک شریعتی,17066145,46875000,174.7,226,89
قیام دشت,8666667,23750000,174.0,41,17
صفا,17857143,48779762,173.2,47,44
جی,17612788,48039216,172.8,1010,619
تهران سر,23333333,63537579,172.3,891,932
شهید دستغیب,20270270,55147059,172.1,45,64
خاوران,13821429,37600000,172.0,148,145
دولتخواه,12156172,33000000,171.5,66,31
دولت آباد,16000000,43269231,170.4,343,155
زهتابی,13400000,36206897,170.2,47,21
اسکندری,20801282,56140351,169.9,142,105
آبشار,19177419,51666667,169.4,84,57
مخصوص,17727273,47748656,169.4,114,70
تولید دارو,17464286,46978261,169.0,122,70
پلیس,26443627,71052632,168.7,214,177
یافت آباد,12340426,33125000,168.4,332,131
سبلان,21219512,56944444,168.4,451,251
بیسیم,13618182,36507937,168.1,28,17
عبدل آباد,13750000,36818182,167.8,59,35
امام حسین(ع),18277778,48909091,167.6,100,25
طیب,13968254,37284167,166.9,83,74
یاخچی آباد,18000000,47966102,166.5,85,23
مشیریه,15000000,39886364,165.9,277,86
خانی آباد,14339623,38090909,165.6,93,46
لشکر,21465517,56770154,164.5,50,38
بهارستان,18944444,50000000,163.9,66,17
سازمان آب,32222222,85000000,163.8,137,262
زرکش,23760659,62678571,163.8,54,28
نظام آباد,20754717,54629630,163.2,303,139
استاد معین,22727273,59658565,162.5,1834,1146
شهرک فردوس,16332512,42857143,162.4,86,41
سنگلج,13763636,36111111,162.4,66,65
زنجان,23877513,62500000,161.8,128,235
منصوریه (پل سیمان),16805556,43958333,161.6,27,30
کوی بیمه,31666667,82785560,161.4,155,102
دولاب,16926451,44230769,161.3,60,51
گمرک,15000000,39128788,160.9,246,154
استخر,26000000,67796610,160.8,145,89
سیزده آبان,13793103,35869565,160.1,67,25
جمهوری,23500000,60999104,159.6,163,106
شوش,13000000,33695652,159.2,118,55
آذربایجان,22983615,59482759,158.8,984,832
پونک,37323944,96495614,158.5,6239,4588
ابوذر (منطقه ۱۵),22685440,58600000,158.3,264,217
جنت آباد جنوبی,36000000,92935235,158.2,2554,1846
شیوا,18750000,48342105,157.8,49,20
شهادت,15874356,40909091,157.7,26,15
نبی اکرم(ص),23924051,61575758,157.4,21,18
شهر زیبا,31182796,80000000,156.6,1993,1042
وحیدیه,21000000,53846154,156.4,191,125
نارمک,32733499,83922328,156.4,1120,848
شهرک آزادی,25371951,65047170,156.4,52,20
سرآسیاب مهرآباد,19157801,49065421,156.1,22,33
عباس آباد,38000000,97297297,156.0,121,175
هوانیروز,27368421,70000000,155.8,61,83
شهران جنوبی,34142157,87254902,155.6,1290,748
پیروزی,22250000,56862745,155.6,1597,577
شهرک نفت (منطقه ۵),37313433,95285714,155.4,197,285
تاکسیرانی,20294118,51807229,155.3,25,15
ارم,34848485,88907895,155.1,237,306
ایران,27013514,68840580,154.8,56,51
خواجه نصیر طوسی,23571429,60000000,154.5,83,74
جوادیه تهرانپارس,20438540,51991422,154.4,84,72
باغ فیض,34736842,88333333,154.3,936,1293
اتابک,13764706,35000000,154.3,203,71
شادآباد,14803226,37576531,153.8,146,110
آهنگ,20561975,52173913,153.7,450,247
منیریه,23076923,58513576,153.6,282,216
دروازه شمیران,22086957,56000000,153.5,118,120
شیخ هادی,22473958,56944444,153.4,66,35
کاروان,13333333,33730769,153.0,99,66
افسریه,19699231,49799928,152.8,510,200
